code,lat,lng,value
1607794722,-23.6109851,-46.4750465,106
135598076,-23.537323,-46.5473145,21
6208953644,-23.4974057,-46.6123344,34
3809826971,-23.619332,-46.7024654,37
3809826996,-23.619429,-46.7020898,41
940924968,-23.405204,-46.7348337,28
831876693,-23.6060607,-46.5937382,46
5386914975,-23.541796,-46.4130293,24
1733690277,-23.6427751,-46.7370962,31
567677601,-23.5723736,-46.7042786,32
1607871323,-23.5951639,-46.4297925,25
1607871338,-23.5952768,-46.4335655,72
4493556080,-23.5462732,-46.5748885,34
1956003743,-23.5843478,-46.7379087,33
1666606521,-23.4851162,-46.4349202,22
1360432685,-23.6750339,-46.6997536,26
1360432819,-23.6793699,-46.6963295,29
1360433537,-23.6981485,-46.6717707,58
2513876019,-23.7345873,-46.6988622,45
2513876817,-23.77384,-46.7210353,21
181845945,-23.5387197,-46.55996,24
370599027,-23.619881,-46.638086,38
5919674986,-23.374582,-46.5687168,35
1276603764,-23.6029975,-46.5119211,52
1276603838,-23.6029077,-46.5150866,27
1560899781,-23.435947,-46.7857799,45
1276609575,-23.6032661,-46.5203846,21
3906446934,-23.5290089,-46.4161138,21
802665101,-23.7298898,-46.6899689,22
663895205,-23.5708736,-46.5387627,26
3457678547,-23.5155533,-46.7264102,34
155372416,-23.6120703,-46.4750119,33
1645759045,-23.6032609,-46.4706665,56
5617765372,-23.5032878,-46.6092144,36
2589478485,-23.604814,-46.428973,58
467994672,-23.622844,-46.6201431,66
3902319908,-23.6260318,-46.4639687,39
4011376293,-23.6599747,-46.769198,88
1989729298,-23.4945782,-46.4044348,52
1989729420,-23.497326,-46.3996172,21
3583572224,-23.702223,-46.7827619,22
3906537517,-23.5935599,-46.4283662,23
408491606,-23.5113708,-46.7144549,22
1989752618,-23.4971684,-46.3956226,34
2120302995,-23.5035789,-46.672258,34
2434359254,-23.6142337,-46.5013742,80
370800438,-23.5997203,-46.6276103,22
370800617,-23.5993199,-46.6238229,24
1679429192,-23.5543005,-46.4465868,24
4737078351,-23.5380298,-46.5646691,21
559554463,-23.7413735,-46.7059764,30
1672643636,-23.4935907,-46.3894041,23
148519081,-23.5278514,-46.5981705,53
4191831477,-23.6417793,-46.7663184,29
3357170291,-23.5826329,-46.5538482,21
2488951298,-23.5511171,-46.4634676,23
